track_id,track_name,artist_name,artist_id,release_date,album_type,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
577YBGuskWkVDCxZrLRB4v,Pure Cocaine,['Lil Baby'],['5f7VJjfbwm532GiveGC0ZK'],2018-11-30,album,74,0.964,0.487,10,-6.071,0,0.421,0.00127,6.57e-06,0.115,0.107,127.05,154024,4
2GyHLJ238fZx2QkQO9v7nV,Alley Oop (feat. Lil Baby),"['Yung Gravy', 'Lil Baby']","['2YOYua8FpudSEiB9s88IgQ', '5f7VJjfbwm532GiveGC0ZK']",2018-12-14,single,1,0.861,0.499,6,-7.458,1,0.263,0.276,0.0,0.0971,0.861,122.003,152187,4
79OEIr4J4FHV0O3KrhaXRb,Splashin,['Rich The Kid'],['1pPmIToKXyGdsCF6LmqLmI'],2018-12-04,single,7,0.942,0.383,10,-8.099,1,0.565,0.00195,0.0,0.0922,0.38,100.021,177806,4
3oh6SCCeLuXhFpEyepla6G,Thotiana,['Blueface'],['3Fl1V19tmjt57oBdxXKAjJ'],2018-12-18,album,75,0.906,0.382,10,-12.89,0,0.269,0.18,0.0,0.113,0.391,104.025,129264,4
59J5nzL1KniFHnU120dQzt,wokeuplikethis*,"['Playboi Carti', 'Lil Uzi Vert']","['699OTQXzgjhIYAHMy9RyPD', '4O15NlyKLIASxsJ0PrXPfz']",2017-04-14,album,74,0.785,0.62,8,-6.668,1,0.254,0.0138,0.0,0.15,0.478,78.476,235535,4
1KzNsOkpQthVwpCJrADJEQ,dothatshit!,['Playboi Carti'],['699OTQXzgjhIYAHMy9RyPD'],2017-04-14,album,64,0.745,0.744,9,-5.56,1,0.254,0.067,0.0,0.279,0.451,162.965,184964,4
3K6U7TamNyVSWcFH8pCQHX,Love Hurts (feat. Travis Scott),"['Playboi Carti', 'Travis Scott']","['699OTQXzgjhIYAHMy9RyPD', '0Y5tJX1MQlPlqiwlOH1tJY']",2018-05-11,album,68,0.724,0.45,4,-5.763,0,0.0496,0.0315,1.36e-05,0.111,0.464,140.981,180560,4
3L0IKstjUgDFVQAbQIRZRv,R.I.P.,['Playboi Carti'],['699OTQXzgjhIYAHMy9RyPD'],2018-05-11,album,67,0.725,0.723,8,-6.067,0,0.16,0.0119,0.0,0.086,0.509,140.003,192027,4
04MLEeAMuV9IlHEsD8vF6A,No Stylist,"['French Montana', 'Drake']","['6vXTefBL93Dj5IqAWq6OTv', '3TVXtAsR1Inumwj472S9r4']",2018-09-20,single,73,0.765,0.704,5,-4.589,0,0.127,0.0215,0.0,0.227,0.498,147.055,192172,4
67fNrBUMc7iWMofdCaoJV9,Bleed It,['Blueface'],['3Fl1V19tmjt57oBdxXKAjJ'],2019-01-11,single,8,0.845,0.76,1,-6.007,0,0.357,0.221,0.0,0.107,0.558,101.865,145520,4
1n8wr8tRHs5jmBxNWXedcn,"Bands (feat. Ohgeesy, Fenix Flexin & Master Kato)","['Shoreline Mafia', 'Rob Vicious', 'Fenix Flexin', 'Master Kato', 'OHGEESY']","['4tYSBptyGeVyZsk8JC4JHZ', '2gGtD7OGXbNZAY3oCZvZqA', '63GIj2yhFvX1Bzphb9JgVb', '6pb2Dl1FHK081UKW6aUqgF', '3ppQEG71r7jVpI8RudzycF']",2018-07-13,album,73,0.9,0.385,1,-12.189,0,0.435,0.371,0.0,0.142,0.488,99.964,174336,4
24b20V609aI0WJ8LyxR8qx,The Game & Skrillex: El Chapo,"['The Game', 'Skrillex']","['0NbfKEOTQCcwd6o7wSDOHI', '5he5w2lnU9x7JFhnwcekXX']",2015-10-16,album,59,0.754,0.909,6,-3.323,0,0.23,0.138,0.0,0.281,0.591,126.994,220079,4
0Fpen1PTuEnCmOJtUU9Iud,New Patek,['Lil Uzi Vert'],['4O15NlyKLIASxsJ0PrXPfz'],2018-09-18,single,72,0.85,0.785,8,-4.963,0,0.345,0.0367,0.0,0.155,0.718,145.063,343099,4
4ksuI04WMvUnJbHQjgs3L5,Talk Up (feat. Jay-Z),"['Drake', 'JAY-Z']","['3TVXtAsR1Inumwj472S9r4', '3nFkdlSjzX9mRTtwJOzDYB']",2018-06-29,album,61,0.758,0.49,11,-9.877,1,0.139,0.00359,6.61e-06,0.292,0.335,140.116,223240,4
2JvzF1RMd7lE3KmFlsyZD8,MIDDLE CHILD,['J. Cole'],['6l3HvQ5sa6mXTsMTB19rO5'],2019-01-23,single,84,0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984,213594,4
5AjINjwKyRvQJhSe2zpPHi,Pop Out (feat. Lil Tjay),"['Polo G', 'Lil Tjay']","['6AgTAQt8XS6jRWi4sX7w49', '6jGMq4yGs7aQzuGsMgVgZR']",2019-02-07,single,12,0.861,0.621,1,-7.106,1,0.362,0.121,0.0,0.0689,0.254,83.976,166640,4
6cYouRbOf9Z2c1JzsIzAP3,Awesome (feat. Matt Ox),"['Valee', 'Matt Ox']","['4hRL2QmahOYxXNmNKtG1AI', '2J6pigOrBmKQgqJUY5UM7r']",2018-10-19,single,41,0.824,0.47,1,-8.767,1,0.425,0.37,0.0,0.115,0.602,69.968,178747,4
1uZBdxLV9W8WvVBor1AjpD,Gucci Cologne,['K$upreme'],['7trxpXo6hVUnoB22sbCkEd'],2018-10-10,single,0,0.944,0.444,1,-10.367,1,0.922,0.0992,0.0,0.17,0.312,129.888,134428,4
52mXzUl4zRM6XC5hAxs1oh,Beef FloMix,['Flo Milli'],['08PvCOlef4xdOr20jFSTPd'],2019-03-08,single,3,0.903,0.555,7,-8.848,1,0.208,0.234,0.0,0.153,0.873,116.043,149165,4
53CJANUxooaqGOtdsBTh7O,Old Town Road,['Lil Nas X'],['7jVv8c5Fj3E9VhNjxT4snq'],2019-03-14,single,23,0.908,0.517,1,-6.063,1,0.129,0.0361,1.73e-06,0.0949,0.471,136.019,113013,4
34IuLEEsYl2kf2oTBszW6j,Grindin’ My Whole Life,"['HS87', 'N.No', 'B. Carr', 'Hit-Boy', 'Big Hit', 'Audio Push', 'Bmacthequeen', 'Kent M$ney']","['6NUVKfz2xAi4mJJkGm6zyz', '1wgcCQ5e3Pm5TiCxPaJawZ', '6W2kMgRffdGJ0iPRpjMe6O', '6q3p11nP1p80Ey6LrOOSed', '1zQJBLCGM0tdPW9XwgdEll', '3oHjuEyaFp7MddhOXddXbx', '2BWFGhivszf3CagtAJzvGL', '5jMtI9ikVknLXq77qWYp01']",2014-05-27,album,41,0.763,0.631,2,-6.164,1,0.17,0.253,7.34e-06,0.0906,0.351,114.999,322093,4
2gwkD6igEhQbDQegRCcdoB,Suge,['DaBaby'],['4r63FhuTkUYltbVAg5TQnk'],2019-03-01,album,84,0.876,0.662,2,-6.482,0,0.426,0.0608,0.0,0.127,0.844,75.445,163320,4
35l8ivgXiWiDCv7TCZ50Da,Walk (Remix),"['Comethazine', 'A$AP Rocky']","['1iJdyDcY98X3GMnUesl7tf', '13ubrt8QOOCPljQ2FL1Kca']",2019-03-18,single,65,0.813,0.586,2,-10.478,1,0.379,0.0547,0.0,0.238,0.798,160.043,186517,4
0hwkukpHcBJfGcIUxi1tK2,Freddy Krueger (feat. Tee Grizzley),"['YNW Melly', 'Tee Grizzley']","['1cNDP5yjU5vjeR8qMf4grg', '6AUl0ykLLpvTktob97x9hO']",2018-11-23,single,72,0.834,0.621,7,-6.156,1,0.0821,0.0918,0.0,0.0759,0.613,140.05,244506,4
7eBqSVxrzQZtK2mmgRG6lC,Murder On My Mind,['YNW Melly'],['1cNDP5yjU5vjeR8qMf4grg'],2018-08-03,album,83,0.759,0.73,0,-7.985,0,0.0516,0.145,3.06e-06,0.11,0.74,115.007,268434,4
2Grb4G6t9VIqo6moKUloom,Don't Come Out The House (with 21 Savage),"['Metro Boomin', '21 Savage']","['0iEtIxbK0KxaSlF7G42ZOp', '1URnnhqYAYcrqrcwql10ft']",2018-11-06,album,69,0.87,0.35,1,-6.082,1,0.277,0.00661,0.000483,0.108,0.175,74.963,168347,4
