artist_id,artist_genre,artist_follower_count
1kh0AypxF3CxMMzmQyif2S,"['alternative r&b', 'indie r&b', 'indie soul', 'neo r&b']",43177
0rFDGYRC8gGyeJqkD4L2kR,[],285
2mYXtuZvtMCHEtiJMC0h1g,['bedroom pop'],7959
24nRMXgTIub5QCUtqyIWQ3,[],7818
7EeVlj2JB9KBzrCeD1fCUf,[],22
2iSbupdaMW303tk8tqdCv5,['australian hip hop'],3977
0fUBKEXCJYmCr9vrI66NEJ,['australian r&b'],2232
2VL6HPPI1raa3qKW6NUNBR,['pinoy indie'],14348
5sKvgmG84C0bIMWeS2SRPr,['nyc pop'],61482
63WDcEsdDRM9DyEXrDAqom,[],61
0PALShJ4yMcson9zvQaqlM,[],1919
2LRbK9bMNSg02YZ12N5W9g,[],47
1dbTwUlL11ZYdC1YAR07AM,['christian trap'],14614
0vSTEuWMJl9xrPNOEKCZuq,[],9
5REHfa3YDopGOzrxwTsPvH,"['atl hip hop', 'underground hip hop']",19241
12trz2INGglrKMzLmg0y2C,"['alternative r&b', 'indie r&b']",83903
02gxa3HE5O0zBKRjeDh6Ba,"['christian hip hop', 'christian trap']",3946
21GlOeXVU38sMRFe4q1bV2,['lo-fi chill'],790
29oWM4DINZdTGRS0xKihHR,"['dutch r&b', 'lo-fi chill']",1389
6gMyLqdBGrHjR8TdCutVIP,['la pop'],3434
5qfkUSH3ip5dD2eEPhjkT3,"['alternative r&b', 'deep pop r&b', 'indie r&b', 'indie soul', 'trap soul']",88001
5JMLG56F1X5mFmWNmS0iAp,"['electropop', 'indie pop', 'indietronica', 'pop', 'post-teen pop']",271387
1Q2mS59tFYLm2KGFoCgWN4,"['british soul', 'indie r&b', 'uk contemporary r&b']",136194
0T2sGLJKge2eaFmZJxX7sq,"['grime', 'uk hip hop']",223136
1A9o3Ljt67pFZ89YtPPL5X,"['alternative r&b', 'indie r&b', 'indie soul', 'scandinavian r&b', 'swedish soul']",314153
31TPClRtHm23RisEBtV3X7,"['dance pop', 'pop']",8894687
3DiDSECUqqY1AuBP8qtaIa,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",7354526
5n69lhq7BLWqnSjJgNPRh4,[],11161
5Y8eJDj37KhaEeqbVO7Ag1,"['boy band', 'dance pop', 'pop', 'post-teen pop']",813823
7jZMxhsB8djyIbYmoiJSTs,"['alternative r&b', 'deep pop r&b', 'indie r&b', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",472592
2vVT4qoxWje0gVD2FiWZ4u,"['indie r&b', 'pop', 'popping']",135477
4Zjb7pDzDyAb7mvzFoR3Re,['indie r&b'],1420
1f93rhzGMrFh9hIL3ReQB4,[],7
4EdY599zQE92n25mlAUHUD,[],41
4KzlNWyq6NP9WL39qC6R4q,[],109
4mErKO4g29SXtBwj4S80aB,"['alternative r&b', 'indie r&b']",4238
1vaQ6v3pOFxAIrFoPrAcom,"['alternative r&b', 'dmv rap', 'pop', 'r&b', 'urban contemporary']",270415
0bhck1r45kgsoMNBVqIziz,[],7306
5ZS223C6JyBfXasXxrRqOk,"['alternative r&b', 'pop', 'r&b']",3007989
1evO4fwLsEkkPGq32dCix7,"['alternative r&b', 'funk', 'indie jazz', 'indie r&b', 'indie soul', 'neo r&b', 'soul', 'uk contemporary r&b']",30007
6LQLO7AYMRaVS86OlbxQOO,[],2965
6t13QrSLbiVtlvksmoBgfH,[],776
02MrhlIaACNv0YCYlhWg5I,[],672
6G6Rc7vtJuvRY3NvZKwHiY,[],1618
27oqKuk3CcUIceREj6iGfl,[],31
00FQb4jTyendYWaN8pK0wa,"['art pop', 'pop']",10183005
4ClziihVpBeFXNyDH83Lde,"['alternative r&b', 'bedroom soul', 'indie r&b', 'pop']",216015
5Vuvs6Py2JRU7WiFDVsI7J,"['alternative r&b', 'deep pop r&b', 'indie r&b']",99336
00OF0nwYaoBSO3AnPVq3vE,[],25830
4WnO2VmlwdTX77ANsThWLQ,"['k-hop', 'k-indie', 'k-pop', 'korean pop', 'korean r&b']",77080
77mttTEOjR1BITEn2LOg3Q,[],36
7tr9pbgNEKtG0GQTKe08Tz,"['indie soul', 'vapor soul']",27626
5cuyvcFTPueWSuNOa6J3zT,[],794
65OtBLtkrifQrdTlKI90IR,"['alternative r&b', 'deep pop r&b', 'trap soul']",171849
4AgZVM5339ZoMyg38nYyYW,"['alternative r&b', 'indie r&b', 'neo r&b']",6741
6USv9qhCn6zfxlBQIYJ9qs,"['alternative pop rock', 'pop']",268600
2tAqnHDAgnGtjnlzyoa38L,"['alternative r&b', 'indie r&b', 'indie soul', 'uk contemporary r&b']",86598
2e0Bkreg0zzfE5umvfKQXf,['uk contemporary r&b'],11990
1qOPo6b0U3t7BpyO8Ti1MF,[],12343
2kEDso93O2hDgCbnuiSkkZ,['retro soul'],8130
4Js9qeA7KMFyjBYHEjFaeJ,[],4253
65dGLGjkw3UbddUg2GKQoZ,"['alternative hip hop', 'canadian modern jazz', 'escape room', 'indie soul']",392514
2GHclqNVjqGuiE5mA7BEoc,"['alternative hip hop', 'chicago rap', 'conscious hip hop', 'gangster rap', 'hip hop', 'neo soul', 'rap']",593788
4596e2d3KmYzAeVenjCxfj,"['alternative r&b', 'hip hop', 'indie soul']",74185
4LLpKhyESsyAXpc4laK94U,"['hip hop', 'pittsburgh rap', 'rap']",4149675
772hWD0N94gYjnVhrqE7lx,['neo r&b'],8149
6RedK3o51NbUJuJxXlT4kj,['alternative hip hop'],14495
5WUlDfRSoLAfcVSX1WnrxN,"['australian dance', 'australian pop', 'dance pop', 'pop']",16019857
0huGjMyP507tBCARyzSkrv,"['dmv rap', 'hip hop', 'rap', 'trap', 'underground hip hop', 'vapor trap']",988843
24H5BJDxFTs7dFcUUkx3Nz,[],895
05oH07COxkXKIMt6mIPRee,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'pop', 'pop rap', 'r&b', 'urban contemporary']",1589617
18M8btl2qIGn1eyxesDtF1,['lo-fi chill'],529
6qOnVqczf3XJzyy3eQazOu,[],393
2k6NFUTaSIrzYWaw4JgIv0,[],705
1dSRKlg9rzvs63rhT8Sbpp,['indie poptimism'],19021
0MDB1LS68gBzXxhG8ewXKo,[],446
1UJKiAI4Evnhh1ExDse25D,['nashville indie'],16116
6cBSgFUoVWA9CIA159x2Jr,"['alternative r&b', 'indie r&b']",2360
0glUNuyGWUn70JhLMARseD,[],1364
1VvjB8ztJLmmj2fyL4TkCU,"['alternative r&b', 'bedroom soul', 'indie r&b']",9322
6Wm7Pemg6HdS95cfXNjXZm,[],90
1B62oENW0VGjnBBUvwkYtX,['la pop'],6521
7GIgWnjx8RK1OJsMJkevgg,['bedroom soul'],5736
4BkaMI8EVVNeaAZRhuy1l7,[],146
5GZ4l6n9d21Upfv4ecuAwe,[],573
5Ow4JHoS15EbnsVxDiHIlx,[],107
0kzQXD6DUCmxw5Dl3Hs8yZ,[],841
05fo024EFotg9songSENOZ,"['art pop', 'chamber pop', 'folktronica', 'freak folk', 'new weird america']",268636
0HkcYmcjrBR3SCw9Ld5VZk,"['chicago rap', 'melodic rap', 'rap', 'southern hip hop', 'trap']",408737
3tp1yGBIXhx31TdVEw9P2G,['lo-fi chill'],298
0GquTEAPyRIacEm0gpCIkM,[],219
37K6fyRpEfpwKNrkTF0gto,['lo-fi chill'],212
4eX6XMjx0GK6eCr59261Q7,[],1263
75RSFQIHY52QAm8m8xZGSt,[],1010
0nMOzceS31p6uYo4bsa0j1,[],120
6S0IvKlvPMX1RtAYtVpUV8,"['australian pop', 'nz pop', 'pop']",54818
1caoBfXJrbKCwIaTzGkyHn,"['australian pop', 'nz pop', 'nz reggae']",316423
3A7OTJpEsOObdTqn1ANNhi,[],5175
3VJTtTgub426X1NuzcyAOb,['indie r&b'],8492
5q6z6GTth6lMbL9I8CAgby,"['indie folk', 'modern blues', 'new americana']",96554
74CcYmmNeHKe5PrZaISk8e,"['alternative r&b', 'indie r&b', 'indie soul']",20400
4ai3OpxVFijS26mHVzevoi,[],1200
5BhFZpE8kUGZJiKOsYjLQM,"['alternative r&b', 'indie r&b']",100484
7AWqSYIArMX7XVqDIKW7Nw,['alternative r&b'],1814
5TDQhokHqe38V3LSS02q5Q,[],2
6aLdhHUqgdKE86xbtNmY8g,"['k-pop', 'korean r&b']",542151
2aGkysuC0eAfw83Yug6GRb,[],544
2a4lU7F8toqKpb5v6Ftqya,"['modern funk', 'retro soul']",37856
60rE8L4eGCSSaJCS1kqNKy,"['indie electropop', 'uae indie']",8979
3l0CmX0FuQjFxr8SK7Vqag,"['bedroom pop', 'boston indie', 'indie pop', 'pop']",1022656
0jUjkZEu17LkjSEQJmcqqi,"['funk', 'indie soul']",23410
06nevPmNVfWUXyZkccahL8,"['contemporary vocal jazz', 'neo soul', 'soul', 'vocal jazz']",369625
7tDDk9WbLrXl0DuDXH4sId,[],4217
2gy5sPtmSXnC7EVtitEZbq,[],29
4T90xdfrulR6Kr4dm4XnrC,[],295
0qC4CNzOUtgdmdVzRqCa1d,['j-rap'],37310
35sCbpXiMjkqDBIvlAhfJF,['nc hip hop'],13427
36KtDuRQm38x36q30tnqOD,['j-rap'],7725
04csyQNirqTzAuG17XZoIt,[],152
